"","Term","ProbAbstract","ProbConcrete","Classification","Jitter"
"gulp","gulp",0.000201692902827904,0.999798307097172,"concrete",0.755
"bars","bars",0.000201705104402733,0.999798294895597,"concrete",0.33866
"drizzle","drizzle",0.000202714421645111,0.999797285578355,"concrete",0.50719
"shrewdness","shrewdness",0.000210029213000652,0.999789970786999,"concrete",0.5902
"mercy","mercy",0.000212079793422641,0.999787920206577,"concrete",0.40955
"ivy","ivy",0.000212777170665573,0.999787222829334,"concrete",0.88016
"playing","playing",0.000215686715046564,0.999784313284953,"concrete",0.37867
"roll","roll",0.000216585614161459,0.999783414385838,"concrete",0.15325
"hewn","hewn",0.000217678613344696,0.999782321386655,"concrete",0.11246
"beads","beads",0.000219001365849204,0.999780998634151,"concrete",0.28428
